%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
28.0, -102906.8950303668, -105307.8076610336, -112220.71048268206, -115199.7956871743, -116233.87679265461, -108392.37074761043, -114590.33067111143, -112914.10629917459, -116005.26315036573, -111672.28808072663, -109955.56234783678, -111869.16224588899, -115792.72041234022, -117005.52606648518, -110114.14797474719, 0.0, 0.0, 0.0, 0.0, 196.0, 20.0, 120.0, 0.0, 5.0, 79.5, 128.0, 0.0, 0.0, 0.0, 1.719437324059276E9, 0.0, 2024-06-26 16:28:44.059
30.0, -102924.10587359738, -105320.6599140954, -112234.14388109969, -115211.64211173561, -116245.79027244929, -108403.591323327, -114604.0993456959, -112926.6009243251, -115989.68398448039, -111653.602022362, -109928.91906844606, -111833.28769603821, -115777.20830168824, -116989.38810698845, -110100.33459667381, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 8.0, 0.0, 0.0, 0.0, 1.719437324067242E9, 0.0, 2024-06-26 16:28:44.067
32.0, -103162.68839391333, -105564.15981819152, -112474.31337527197, -115450.02346635146, -116485.80330441038, -108643.22437563234, -114842.19012763383, -113166.6139562862, -116153.14229168204, -111816.81446037466, -110099.8875617847, -112010.80525050226, -115938.23026874427, -117151.43825428943, -110259.74723812906, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 16.0, 0.0, 0.0, 0.0, 1.719437324075303E9, 0.0, 2024-06-26 16:28:44.075
34.0, -103363.07178295516, -105763.5150269884, -112671.96985149026, -115646.47294836915, -116682.543359106, -108839.27152624984, -115038.48314744033, -113363.66693540418, -116346.30606726481, -112007.7877650008, -110281.04845059496, -112180.29852870686, -116133.04807341672, -117346.18900372852, -110455.1685399018, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 24.0, 0.0, 0.0, 0.0, 1.719437324083277E9, 0.0, 2024-06-26 16:28:44.083
36.0, -103406.72473987637, -105806.96681820952, -112718.3050177461, -115698.61956818338, -116731.11369980738, -108889.13826812962, -115084.77361020728, -113410.60559876033, -116545.37070338377, -112210.56279069935, -110493.99352002067, -112405.60411281635, -116331.77743336886, -117545.03012240292, -110651.68507715287, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 120.0, 0.0, 5.0, 80.0, 32.0, 0.0, 0.0, 0.0, 1.719437324091285E9, 0.0, 2024-06-26 16:28:44.091
38.0, -103415.41956846949, -105816.51101309193, -112727.6033434395, -115704.92276011978, -116739.8979353783, -108897.11784090017, -115095.72596499039, -113419.523944798, -116472.1910920371, -112138.23254564198, -110410.77797541357, -112313.60433263831, -116261.7941214793, -117474.51036864644, -110582.97581469725, 0.0, 0.0, 0.0, 0.0, 196.0, 20.0, 56.0, 0.0, 5.0, 80.0, 40.0, 0.0, 0.0, 0.0, 1.719437324100315E9, 0.0, 2024-06-26 16:28:44.100
40.0, -103497.45047062046, -105896.32909254183, -112809.14250721247, -115788.69709833826, -116822.01824450711, -108978.99228083996, -115177.10866655216, -113500.72783240413, -116569.33177343986, -112236.40140728968, -110519.04982555508, -112430.68277009521, -116356.05142784733, -117569.84055874831, -110677.25547280973, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 48.0, 0.0, 0.0, 0.0, 1.719437324107327E9, 0.0, 2024-06-26 16:28:44.107
42.0, -103653.37623994068, -106059.65328927676, -112966.69995387793, -115942.54415542414, -116978.61456616099, -109135.14156760473, -115336.65541847414, -113660.74397095967, -116637.59400100638, -112301.44498365463, -110573.58808202602, -112474.17926480524, -116426.61588509273, -117638.52746945948, -110747.48465388831, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 56.0, 0.0, 0.0, 0.0, 1.719437324115331E9, 0.0, 2024-06-26 16:28:44.115
44.0, -103973.2967583295, -106375.34932796351, -113283.15595187616, -116260.47536855644, -117294.17649438101, -109450.81525454704, -115652.03853273852, -113976.26119569078, -116940.70600756479, -112603.5288099681, -110885.41726892201, -112792.33399538208, -116726.1516125383, -117940.32072309504, -111046.32747725576, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 64.0, 0.0, 0.0, 0.0, 1.71943732412436E9, 0.0, 2024-06-26 16:28:44.124
46.0, -104564.05336428326, -106973.92904447664, -113877.66765089842, -116847.0745500415, -117886.94475733576, -110042.04124713436, -116249.65712424007, -114574.2374151036, -117307.65459628757, -112967.05758178921, -111237.85957549329, -113133.64513321461, -117094.6424716285, -118309.77270719681, -111416.00297880209, 0.0, 0.0, 0.0, 0.0, 196.0, 125.0, 48.0, 0.0, 5.0, 80.0, 72.0, 0.0, 0.0, 0.0, 1.719437324130411E9, 0.0, 2024-06-26 16:28:44.130
