%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
20.0, -94221.49887341248, -96950.80333361666, -104195.71896740425, -106887.04781377886, -107831.40901701558, -100216.41555028148, -106318.21826913576, -104592.26126578586, -107498.99387347625, -103386.18348672194, -101609.46567171403, -103465.68864174947, -107365.844531756, -108650.89102398051, -101570.39482240616, -102366.02751803727, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 21.0, 0.0, 0.0, 0.0, 1.719437669156462E9, 0.0, 2024-06-26 16:34:29.156
22.0, -94218.97312628903, -96945.99770855877, -104189.10285104548, -106882.80098233235, -107823.78707215632, -100210.49233800083, -106310.41751032085, -104585.2875215158, -107509.70035907035, -103398.49929791682, -101624.15076782118, -103484.48645883639, -107375.18756093831, -108661.06106770768, -101577.56973237632, -102378.6115501656, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 29.0, 0.0, 0.0, 0.0, 1.719437669163476E9, 0.0, 2024-06-26 16:34:29.163
24.0, -94188.10536719626, -96919.68970533488, -104163.30893794405, -106856.13535119717, -107799.58013291123, -100185.43603246642, -106285.89764665338, -104560.79000959278, -107480.93366395637, -103368.21268417987, -101591.8301453388, -103449.2154060859, -107346.86790071343, -108633.30020109419, -101551.6640605526, -102349.59898586261, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 37.0, 0.0, 0.0, 0.0, 1.719437669171469E9, 0.0, 2024-06-26 16:34:29.171
26.0, -94209.94302152909, -96937.68285962139, -104180.96681606375, -106874.03909850588, -107815.22635402995, -100202.28924778572, -106302.01325440565, -104577.5314661898, -107482.07360292358, -103370.11258245858, -101595.45112794056, -103455.94328116695, -107346.91260420236, -108633.81429121665, -101549.98767971847, -102350.78362831875, 0.0, 0.0, 0.0, 196.0, 126.0, 64.0, 0.0, 10.0, 148.0, 45.0, 0.0, 0.0, 0.0, 1.719437669179574E9, 0.0, 2024-06-26 16:34:29.179
28.0, -94199.63886733519, -96930.61970837352, -104175.22241773874, -106866.12658096869, -107811.2477435169, -100196.47779422735, -106296.76059445865, -104572.14469577608, -107490.47785883879, -103377.13103021754, -101601.64256115467, -103460.16776086901, -107356.34504036249, -108641.68210526492, -101561.0741449683, -102358.98671853385, 0.0, 0.0, 0.0, 196.0, 17.5, 96.0, 0.0, 10.0, 148.0, 53.0, 0.0, 0.0, 0.0, 1.71943766918759E9, 0.0, 2024-06-26 16:34:29.187
30.0, -94208.84778605078, -96937.03465903219, -104180.25156024117, -106871.93803452708, -107813.77349064035, -100200.67992218494, -106299.6439694934, -104575.25158825537, -107488.08622218207, -103374.42646913845, -101599.51914543142, -103458.93841492396, -107350.10890365946, -108636.63061101802, -101554.07804895379, -102354.53872138725, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 61.0, 0.0, 0.0, 0.0, 1.71943766919551E9, 0.0, 2024-06-26 16:34:29.195
32.0, -94207.05964649435, -96935.5817956426, -104184.07370854303, -106874.19556071707, -107819.6519994321, -100204.59147746462, -106304.13667012891, -104579.52077144633, -107490.90254198344, -103380.01440525228, -101604.12360478922, -103462.58174927018, -107356.72502001823, -108644.23020413282, -101561.23060717949, -102360.50663715681, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 69.0, 0.0, 0.0, 0.0, 1.719437669203607E9, 0.0, 2024-06-26 16:34:29.203
34.0, -94214.41337042015, -96944.50014168027, -104187.11354578896, -106878.50944739694, -107821.01545584387, -100207.31839028817, -106305.92480968534, -104582.09122205869, -107493.04830945114, -103383.9483122764, -101608.0351600689, -103467.36502258362, -107359.92131947534, -108647.67237277895, -101564.15868570312, -102363.47941916937, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 77.0, 0.0, 0.0, 0.0, 1.71943766921258E9, 0.0, 2024-06-26 16:34:29.212
36.0, -94205.11504472674, -96937.30287996566, -104182.6431968979, -106872.6756420941, -107818.62381918715, -100203.20566930839, -106302.68380673931, -104578.55964643475, -107495.1717251744, -103385.42352741046, -101608.63865716918, -103468.59436852866, -107361.0389066981, -108648.58879430161, -101565.6786043261, -102365.89340757053, 0.0, 0.0, 0.0, 196.0, 126.0, 104.0, 0.0, 10.0, 148.0, 85.0, 0.0, 0.0, 0.0, 1.719437669219588E9, 0.0, 2024-06-26 16:34:29.219
38.0, -94208.6913238396, -96936.69938286536, -104182.55378992007, -106873.54736012785, -107816.52275520835, -100202.64687569701, -106301.16388811635, -104578.3808324791, -107490.18728616087, -103379.07563198515, -101602.89425884417, -103461.6206242586, -107355.31686011754, -108642.46441632086, -101560.09066821226, -102358.91966330048, 0.0, 0.0, 0.0, 196.0, 17.0, 160.0, 0.0, 10.0, 148.0, 93.0, 0.0, 0.0, 0.0, 1.719437669227615E9, 0.0, 2024-06-26 16:34:29.227
